iter	RMSE
0	57128.73167
1	43370.50604
2	36428.9138
3	31819.51246
4	27887.27298
5	25266.50944
6	23439.99222
7	21715.12076
8	20755.52107
9	20036.55548
10	19256.38754
11	18503.6599
12	17576.01684
13	16927.18855
14	15594.43111
15	14858.97936
16	14175.16565
17	13391.62141
18	12662.30285
19	12258.92873
20	11544.81301
21	10782.50275
22	10032.35259
23	9562.883257
24	9482.394166
25	9147.736342
26	9075.607828
27	8715.406328
28	8328.605651
29	7891.034035
30	7857.568903
31	7260.7348
32	6800.574056
33	6754.769928
34	6530.412244
35	6058.006594
36	5991.829696
37	5755.324417
38	5503.399128
39	5241.229517
40	4908.435658
41	4652.075924
42	4492.949632
43	4326.245122
44	4103.922359
45	3921.970894
46	3789.324236
47	3596.685017
48	3474.028861
49	3316.949452
