iter	Passed	Remaining
0	13	685
1	27	664
2	42	664
3	55	636
4	70	632
5	84	616
6	97	596
7	111	582
8	125	569
9	139	557
10	153	545
11	168	532
12	181	517
13	186	479
14	200	467
15	213	453
16	227	441
17	242	431
18	256	418
19	270	406
20	285	394
21	300	382
22	314	369
23	327	355
24	341	341
25	354	327
26	368	313
27	382	300
28	396	287
29	409	272
30	423	259
31	438	246
32	452	233
33	467	220
34	482	206
35	496	193
36	509	179
37	523	165
38	535	150
39	549	137
40	565	124
41	579	110
42	593	96
43	606	82
44	619	68
45	633	55
46	649	41
47	664	27
48	678	13
49	692	0
